"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.onlinegamblingcanada.com/reviews","Indexable","","1","","195","55","0","100,000","103","38","0","13","13","0"
"https://www.onlinegamblingcanada.com/reviews/jackpotcity-casino","Indexable","","1","","169","55","0","100,000","61","25","0","0","0","0"
"https://www.onlinegamblingcanada.com/casino","Indexable","","1","","260","55","0","100,000","74","29","0","6","6","0"
